City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,boa vista,2.8197,-60.6733,26.99,78,40,3.09,BR,1667868763
249,yumen,40.2833,97.2,2.67,36,51,0.87,CN,1667868721
250,evanston,42.0411,-87.6901,8.39,64,0,2.57,US,1667868684
251,tilichiki,60.4667,166.1,-7.37,92,100,3.07,RU,1667868763
252,liuhe,42.2401,125.7172,5.03,48,14,2.83,CN,1667868764
253,pavlodar,52.3,76.95,-2.11,93,0,1.0,KZ,1667868764
254,sampit,-2.5333,112.95,25.42,85,100,1.85,ID,1667868765
255,launceston,-41.45,147.1667,24.78,40,14,4.63,AU,1667868765
256,chik,54.9928,82.4311,-1.14,86,0,3.0,RU,1667868766
257,te anau,-45.4167,167.7167,18.41,49,55,2.68,NZ,1667868766
258,evinayong,1.4368,10.5512,19.43,98,100,0.52,GQ,1667868767
259,mount gambier,-37.8333,140.7667,25.33,42,0,2.64,AU,1667868609
260,torbay,47.6666,-52.7314,15.98,95,100,11.32,CA,1667868560
261,leninsk-kuznetskiy,54.6567,86.1737,-3.71,84,48,1.26,RU,1667868768
262,ariquemes,-9.9133,-63.0408,26.16,46,15,0.7,BR,1667868768
263,wuwei,37.9281,102.6414,4.88,40,16,2.3,CN,1667868769
264,lata,40.1629,-8.3327,16.07,95,99,3.02,PT,1667868769
265,cotonou,6.3654,2.4183,27.99,83,20,3.6,BJ,1667868770
266,karratha,-20.7377,116.8463,23.4,43,0,6.52,AU,1667868606
267,manavalakurichi,8.1333,77.3,25.19,79,98,1.38,IN,1667868770
268,pierre,44.3683,-100.351,5.59,48,0,12.96,US,1667868771
269,aleksandrov gay,50.147,48.5704,1.82,76,100,3.02,RU,1667868771
270,nouakchott,18.0858,-15.9785,20.96,65,6,4.82,MR,1667868772
271,plettenberg bay,-34.0527,23.3716,15.25,71,0,3.05,ZA,1667868772
272,saldanha,-33.0117,17.9442,15.53,87,29,2.99,ZA,1667868651
273,juneau,58.3019,-134.4197,-2.0,100,20,7.2,US,1667868773
274,arlit,18.7369,7.3853,21.75,21,94,3.63,NE,1667868589
275,parrita,9.5201,-84.3225,24.93,89,100,0.9,CR,1667868774
276,kyren,51.6828,102.1408,-2.57,95,99,1.4,RU,1667868774
277,boyolangu,-8.1181,111.8935,25.32,88,97,1.31,ID,1667868775
278,sorland,67.667,12.6934,5.92,66,7,9.81,NO,1667868574
279,northam,51.0333,-4.2167,10.7,93,100,9.27,GB,1667868775
280,vila franca do campo,37.7167,-25.4333,16.23,84,100,3.56,PT,1667868608
281,ratnagiri,16.9833,73.3,23.22,54,61,3.06,IN,1667868661
282,labuhan,-6.8844,112.2051,27.42,75,97,2.4,ID,1667868776
283,kyzyl-suu,42.3414,78.0056,4.13,55,100,1.61,KG,1667868776
284,big spring,32.2504,-101.4787,22.25,74,0,6.17,US,1667868777
285,nkowakowa,-23.8878,30.2871,20.2,82,100,0.52,ZA,1667868777
286,champerico,14.3,-91.9167,24.3,79,100,1.38,GT,1667868778
287,verkhnyaya toyma,62.2349,44.9985,2.32,97,100,3.17,RU,1667868705
288,skjervoy,70.0311,20.9714,2.0,68,20,3.69,NO,1667868778
289,payo,-3.7508,103.6372,24.58,92,100,0.36,ID,1667868779
290,boden,65.8252,21.6886,-3.0,83,14,1.83,SE,1667868779
291,dalian,38.9122,121.6022,10.35,46,0,0.0,CN,1667868779
292,leningradskiy,69.3833,178.4167,-9.18,88,100,3.14,RU,1667868654
293,marabba,12.35,32.1833,27.11,19,93,3.91,SD,1667868780
294,camacha,33.0833,-16.3333,17.68,94,20,1.03,PT,1667868780
295,port hedland,-20.3167,118.5667,26.03,38,0,6.69,AU,1667868781
296,novobeysugskaya,45.472,39.8861,3.95,76,100,6.11,RU,1667868782
297,zhanaozen,43.3,52.8,0.47,75,1,2.42,KZ,1667868782
298,benguela,-12.5763,13.4055,23.46,80,31,1.84,AO,1667868659
299,bilibino,68.0546,166.4372,-19.75,96,66,1.8,RU,1667868783
300,komsomolskiy,40.4272,71.7189,9.4,81,75,2.06,UZ,1667868589
301,flinders,-34.5833,150.8552,22.99,62,51,3.87,AU,1667868784
302,onguday,50.75,86.15,1.02,98,100,0.97,RU,1667868784
303,kaeo,-35.1,173.7833,15.74,95,100,6.12,NZ,1667868785
304,tyazhinskiy,56.116,88.524,-5.18,98,87,1.6,RU,1667868785
305,ust-ilimsk,58.0006,102.6619,-5.29,89,100,5.04,RU,1667868786
306,thunder bay,48.4001,-89.3168,-2.01,74,0,1.54,CA,1667868786
307,macae,-22.3708,-41.7869,21.86,78,0,1.03,BR,1667868787
308,nhamunda,-2.1861,-56.7131,23.89,90,100,0.35,BR,1667868788
309,miles city,46.4083,-105.8406,8.01,46,100,4.97,US,1667868788
310,mackay,-21.15,149.2,28.16,60,0,6.84,AU,1667868789
311,sukhobuzimskoye,56.5,93.2728,-4.62,95,94,2.05,RU,1667868790
312,lahij,13.1667,44.5833,22.63,77,2,1.81,YE,1667868791
313,taseyevo,57.2169,94.8978,-5.32,96,85,1.76,RU,1667868791
314,sabaudia,41.3003,13.0282,14.71,59,0,2.17,IT,1667868785
315,ahipara,-35.1667,173.1667,16.21,91,90,6.49,NZ,1667868792
316,touros,-5.1989,-35.4608,25.62,77,100,4.8,BR,1667868793
317,podor,16.6527,-14.9587,25.97,47,0,1.03,MR,1667868793
318,kushima,31.4583,131.2333,20.58,66,1,1.78,JP,1667868634
319,bukachacha,52.9833,116.9167,-6.24,87,100,1.16,RU,1667868794
320,vardo,70.3705,31.1107,-0.01,93,40,3.09,NO,1667868592
321,nanakuli,21.3906,-158.1547,29.37,57,40,6.17,US,1667868795
322,kpandu,6.9954,0.2931,25.01,79,100,1.54,GH,1667868795
323,saskylakh,71.9167,114.0833,-31.0,99,43,2.46,RU,1667868614
324,asau,46.4333,26.4,5.71,83,100,1.54,RO,1667868621
325,cape canaveral,28.4058,-80.6048,26.15,69,0,8.23,US,1667868796
326,san cristobal,7.7669,-72.225,22.1,96,99,0.97,VE,1667868595
327,amalapuram,16.5833,82.0167,20.78,90,0,1.84,IN,1667868797
328,bamiantong,44.9333,130.5333,3.35,48,7,4.34,CN,1667868797
329,trairi,-3.2778,-39.2689,26.01,70,81,4.03,BR,1667868742
330,whitianga,-36.8333,175.7,14.92,93,100,7.94,NZ,1667868709
331,loa janan,-0.583,117.095,28.53,66,100,1.52,ID,1667868798
332,paciran,-6.8767,112.3761,27.44,74,99,1.69,ID,1667868798
333,meadow lake,34.8014,-106.5436,16.75,29,66,3.67,US,1667868799
334,olafsvik,64.8945,-23.7142,5.74,75,100,7.13,IS,1667868799
335,jackson,42.4165,-122.8345,7.31,79,100,1.1,US,1667868800
336,baykalsk,51.5058,104.1469,-1.03,93,100,2.89,RU,1667868801
337,ixtapa,20.7,-105.2,22.21,92,34,0.55,MX,1667868801
338,saint-joseph,-21.3667,55.6167,21.21,77,39,2.05,RE,1667868802
339,ust-tsilma,65.441,52.1498,0.21,98,100,2.47,RU,1667868802
340,frei paulo,-10.5494,-37.5344,21.23,87,90,4.0,BR,1667868804
341,mount isa,-20.7333,139.5,34.87,24,0,4.12,AU,1667868804
342,teya,60.3778,92.6267,-9.78,97,94,1.72,RU,1667868805
343,kudahuvadhoo,2.6708,72.8944,27.35,74,18,4.29,MV,1667868788
344,harper,4.375,-7.7169,25.83,83,100,2.73,LR,1667868565
345,lorengau,-2.0226,147.2712,29.27,73,100,2.56,PG,1667868691
346,pemangkat,1.1667,108.9667,25.87,85,100,1.13,ID,1667868806
347,lasa,46.6166,10.7002,6.49,60,96,0.79,IT,1667868697
348,uray,60.1247,64.7758,-2.56,93,100,3.67,RU,1667868806
349,san quintin,30.4833,-115.95,18.14,83,0,5.2,MX,1667868629
350,mareeba,-17.0,145.4333,29.69,63,7,2.99,AU,1667868807
351,prince rupert,54.3161,-130.3201,-1.17,30,0,7.2,CA,1667868808
352,khorinsk,52.1657,109.7726,-2.01,70,100,1.91,RU,1667868808
353,pecos,31.4229,-103.4932,24.46,46,0,0.0,US,1667868738
354,ancud,-41.8697,-73.8203,12.05,95,99,1.34,CL,1667868779
355,nioki,-2.7167,17.6833,21.16,96,100,0.2,CD,1667868809
356,gusau,12.1628,6.6614,22.13,24,39,3.65,NG,1667868809
357,castro alves,-12.7656,-39.4283,21.15,79,90,3.32,BR,1667868810
358,shaoxing,30.011,120.5715,16.97,68,0,0.74,CN,1667868810
359,hofn,64.2539,-15.2082,6.54,92,100,12.09,IS,1667868811
360,coahuayana,18.7333,-103.6833,24.18,92,15,1.27,MX,1667868767
361,dong hoi,17.4833,106.6,22.68,82,100,3.76,VN,1667868811
362,cherskiy,68.75,161.3,-21.02,98,18,1.14,RU,1667868812
363,okhotsk,59.3833,143.3,-13.28,66,4,9.03,RU,1667868812
364,merauke,-8.4667,140.3333,28.8,71,47,2.44,ID,1667868813
